    2Theta     d (A)    Height      Area     FWHM
    11,950   7,39987     850,1    5882,2    0,1400          
    13,299   6,65228    5274,1   31622,3    0,1200          
    13,610   6,50084    3955,3   27061,2    0,1400          
    15,607   5,67314    5889,4   40762,2    0,1400          
    17,164   5,16200    4982,7   29782,7    0,1200          
    17,915   4,94704     576,4    4026,2    0,1400          
    18,149   4,88380     488,9    3382,3    0,1400          
    20,809   4,26511    3770,5   25935,1    0,1400          
    23,260   3,82097     427,8    3422,4    0,1600          
    23,629   3,76210     710,8    4922,0    0,1400          
    24,042   3,69841    1049,6    8390,8    0,1600          
    25,431   3,49948     748,7    5957,0    0,1600          
    25,722   3,46055     429,5    3273,2    0,1600          
    26,782   3,32598     605,8    4844,4    0,1600          
    27,582   3,23133    3205,5   18418,9    0,1200          
    27,722   3,21528    3422,5   19890,5    0,1200          
    28,169   3,16532     646,7    5776,4    0,1800          
    29,430   3,03251     403,4    3204,3    0,1600          
    29,697   3,00585     773,9    5410,3    0,1400          
    30,167   2,96008    1558,2   18465,4    0,3000          
    30,132   2,96341    1528,2   22368,5    0,3000          
    30,694   2,91042     165,1     986,8    0,1200          
    31,536   2,83461     616,1    5538,4    0,1800          
    31,744   2,81653     206,3     715,1    0,0800          
    34,696   2,58332     646,5    5810,5    0,1800          
    35,130   2,55239     289,5    2588,3    0,1800          
    36,627   2,45142     226,2    1285,6    0,1200          
    36,804   2,44005     559,6    2041,2    0,0800          
    37,004   2,42731    1362,0   10876,9    0,1600          
    37,344   2,40598     310,5    3074,3    0,2000          
    41,130   2,19285     385,8    3066,7    0,1600          
    40,349   2,23348     624,0    1679,4    0,1400          
    42,300   2,13488     326,1    2608,9    0,1600          
    42,505   2,12502     149,9     891,4    0,1200          
    43,388   2,08383     336,6    4356,4    0,2800          
    43,370   2,08462     336,5    4000,5    0,2800          
    43,192   2,09280    -342,8    2669,7    0,2600          
    45,291   2,00056     280,2    3635,5    0,2600          
    45,602   1,98765     379,4    3364,4    0,1800          
    47,119   1,92713     146,1    1169,1    0,1600          
    48,097   1,89022     374,0    4075,6    0,2200          
    48,362   1,88047     206,8    1211,1    0,1200          
    49,242   1,84891     598,0    4782,7    0,1600          
    51,281   1,78009     475,8    5233,2    0,2200          
    52,607   1,73829     383,4    6218,7    0,3400          
    54,231   1,69001     169,2    1341,9    0,1600          
    55,202   1,66257     160,4    1415,7    0,1800          
    55,517   1,65386     194,1    1746,4    0,1800          

